159,7000173,2,42,3,NA,"",1,2,821000,1
160,7000174,1,70,2,1,"",2,8,1752004.75,3
161,7000175,2,56,4,NA,"",0,1,550000,1
162,7000176,1,33,6,1,"",1,4,1248211,2
163,7000177,1,36,2,1,"",4,6,723333.333333333,1
164,7000178,2,61,2,1,"",2,6,1275000,3
165,7000179,1,23,5,NA,"",0,1,2e+05,1
166,7000180,2,41,4,NA,"",3,6,3e+05,1
167,7000181,2,52,2,1,"",2,5,1958333.33333333,3
168,7000182,2,49,5,NA,"",1,4,1900000,2
169,7000183,1,62,4,NA,"",0,1,1029166.66666667,1
170,7000184,2,48,4,NA,"",2,4,295000,1
171,7000185,2,46,3,NA,"",3,4,513333.333333333,3
172,7000186,2,64,6,1,"",0,2,950000,1
173,7000187,2,58,5,NA,"",0,1,6e+05,1
174,7000190,1,57,1,2,"",0,1,158333.333333333,1
175,7000193,2,39,4,NA,"",3,4,50000,2
176,7000195,1,64,6,1,"",0,2,946345.5,1
177,7000197,2,45,2,1,"",3,8,1080000,3
178,7000198,2,33,6,1,"",5,7,539666.666666667,2
179,7000201,2,32,4,NA,"690_07",5,7,335000,2
180,7000202,2,43,4,NA,"",2,5,973500,2
181,7000203,2,19,1,1,"",0,2,550000,1
182,7000204,1,38,2,1,"",0,2,1056242,1
183,7000205,2,52,2,1,"",4,10,1880333.33333333,3
184,7000206,2,59,4,NA,"",1,4,150000,2
185,7000208,1,35,2,1,"",3,5,1891500,2
186,7000209,2,33,2,1,"",2,4,269000,2
187,7000210,1,56,2,1,"",1,4,1902500,2
188,7000211,1,46,2,1,"",1,3,1780000,3
189,7000212,1,27,5,NA,"",0,2,1600000,2
190,7000213,2,36,2,1,"",1,4,1606666.66666667,2
191,7000214,1,60,2,1,"",2,6,1606000,3
192,7000215,1,30,1,1,"",0,2,1500000,1
193,7000216,2,40,4,NA,"",2,3,408333.333333333,2
194,7000217,2,46,2,1,"",2,4,1200000,3
195,7000218,2,37,5,NA,"",0,1,9e+05,1
196,7000219,1,47,2,1,"",3,5,2596666.66666667,2
197,7000220,1,73,6,1,"",0,2,4453333.33333333,1
